pais,pais_completo,political_structure,regiao,continente,data_nacional,diplomata_designado,diplomata_nome,diplomata_genero,diplomata_data_admissao,diplomata_residente,embaixada_em_brasilia,embaixada_endereco,email_contato_1,email_contato_2,note
Cabo Verde,República de Cabo Verde,,,,05/07,TRUE,Domingos Dias Pereira Mascarenhas,homem,12/02/14,TRUE,TRUE,SHIS QL 14 conjunto 3 casa 8 – Lago Sul - 71.640-035 - Brasília / DF,embcvbrasil@embcv.org.br,,
Camboja,Reino do Camboja,,,,09/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Cameroun,República do Cameroun,,,,20/05,TRUE,Martin Agbor Mbeng,homem,26/08/08,TRUE,TRUE,SHIS QI 15 conjunto 14 casa 17 – Lago Sul - 71.635-340 - Brasília / DF,embcameroun@embcameroun.org.br,,
Canadá,Canadá,,América do Norte,América,01/07,TRUE,Jennifer May,mulher,03/09/19,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 16 - 70.410-900 – Brasília / DF,brsla@international.gc.ca,,
Catar,Estado do Catar,,,,18/12,TRUE,Ahmed Ibrahim Abdulla Alabdulla,homem,08/08/18,TRUE,TRUE,SHIS QL 20 conjunto 1 casa 19 – Lago Sul - 71.650-115 - Brasília /DF,brasilia@mofa.gov.qa,,
Cazaquistão,República do Cazaquistão,,,,16/12,TRUE,Kairat Sarzhanov,homem,18/04/16,TRUE,TRUE,SHIS QI 9 conjunto 3 casa 8 - Lago Sul - 71.625-030 - Brasília / DF,brasilia@mfa.kz ,,
Chade,República do Chade,,,,11/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Chile,República do Chile,,,,18/09,TRUE,Fernando Schmidt Ariztía,homem,26/04/18,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 11 - 70.407-900 – Brasília / DF,echile.brasil@minrel.gob.cl,,
China,República Popular da China,,,,01/10,TRUE,Yang Wanming,homem,27/12/18,TRUE,TRUE,SES Avenida das Nações quadra 813 lote 51 - 70.443-900 – Brasília / DF,embaixadadachina@hotmail.com,,
Chipre,República de Chipre,,,,01/10,TRUE,Haralambos Kafkarides,homem,19/09/16,TRUE,TRUE,"SHIS QI 9, conjunto 20, casa 2, Lago Sul - 71.625-200 – Brasília / DF",brasiliaembassy@mfa.gov.cy,,
Colômbia,República da Colômbia,,,,20/06,TRUE,Darío Alonso Montoya Mejía,homem,07/05/19,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 10 - 70.444-900 – Brasília / DF,ebrasili@cancilleria.gov.co,,
Comores,União das Comores,,,,06/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
R. Dem. do Congo,República Democrática do Congo,,,,30/07,TRUE,Mutombo Bakafwa Nsenda,homem,08/12/15,TRUE,TRUE,SHIS QI 9 conjunto 13 casa 12 - Lago Sul - 71.625-130 - Brasília / DF,ambaredeco@ig.com.br,,
Rep. do Congo,República do Congo,,,,15/08,TRUE,Louis Sylvain-Goma,homem,03/12/12,TRUE,TRUE,SHIS QL 8 conjunto 5 casa 6 – Lago Sul - 71.620-255 - Brasília / DF,ambacobrazza@gmail.com,,
Coreia do Norte,República Popular Democrática da Coreia,,,,09/09,TRUE,Kim Chol Hak,homem,14/05/15,TRUE,TRUE,"SHIS QI 25, Conjunto 10, Casa 11 – Lago Sul - 71.660-300 – Brasília / DF",embrpdcoreia@hotmail.com,,
Coreia do Sul,República da Coreia,,,,03/10,TRUE,Chan-woo Kim,homem,14/05/18,TRUE,TRUE,SEN Avenida das Nações lote 14 - 70.800-915 – Brasília / DF,coreiabrasil@gmail.com,ambcoreia@gmail.com,
Costa Rica,República da Costa Rica,,,,15/09,TRUE,Norman Lizano Ortiz,homem,09/07/19,TRUE,TRUE,SRTVN 701 conjunto C ala A salas 308/310 - Edifício Centro Empresarial Norte - 70.719-903 - Brasília / DF,embcr-br@rree.go.cr,,
Costa do Marfim,República da Côte d'Ivoire,,,,07/09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SEN Avenida das Nações lote 9 - 70.473-900 - Brasília / DF,cotedivoire@cotedivoire.org.br,ambacotedivoire.bresil@yahoo.fr,
Croácia,República da Croácia,,,,30/05,TRUE,Ranko Vilović,homem,01/12/19,TRUE,TRUE,SHIS QI 9 conjunto 11 casa 3 – Lago Sul - 71.625-110 - Brasília / DF,croemb.brasilia@mvep.hr,,
Cuba,República de Cuba,,América Central,América,01/12,TRUE,Marielena Ruiz Capote,mulher,13/11/13,TRUE,TRUE,SHIS QI 5 conjunto 18 casa 1 – Lago Sul - 71.615-180 - Brasília / DF,embacuba@uol.com.br,,
Dinamarca,Reino da Dinamarca,,,,16/04,TRUE,Nicolai Prytz,homem,03/09/18,TRUE,TRUE,SES Avenida das Nações lote 26 quadra 807 - 70.200-900 - Brasília / DF,bsbamb@um.dk,,
Djibouti,República do Djibouti,,,,27/06,TRUE,Ayeid Mousseid Yahya,homem,03/05/10,FALSE,FALSE,FALSE,embdjib@enet.cu,,
Dominica,Comunidade da Dominica,,América Central,América,03/11,TRUE,Jennifer Margaret Aird,mulher,17/08/15,FALSE,FALSE,FALSE,chancellery@domini.dm,,
Egito,República Árabe do Egito,,,,23/07,TRUE,Wael Ahmed Kamal Aboul Magd,homem,19/11/2019,TRUE,TRUE,SEN Avenida das Nações lote 12 - 70.800-914 - Brasília / DF,embassy.egypt.brasilia@gmail.com,,
El Salvador,República de El Salvador,,América Central,América,15/09,TRUE,Cindy Mariella Portal Salazar,mulher,20/11/2019,TRUE,TRUE,SHIS QI 09 conjunto 02 casa 15 – Lago Sul - 71.625-020 - Brasília / DF,embelsalvador.brasil@hotmail.com,,
Emirados Árabes Unidos,Emirados Árabes Unidos,,Golfo Pérsico,Ásia,02/12,TRUE,Hafsa Abdulla Mohamed Sharif Al Ulama,mulher,18/01/17,TRUE,TRUE,SHIS QI 5 chácara 54 – Lago Sul - 71.600-580 – Brasília / DF,brasiliaEMB@mofa.gov.ae,,
Equador,República do Equador,,,,10/08,TRUE,Diego Antonio Ribadeneira Espinosa,homem,29/01/18,TRUE,TRUE,SHIS QL 10 - Conjunto 08 - Casa 01 - Lago Sul - Brasília - DF - 71630-085,embaixada.equador@solar.com.br,,
Eritréia,Estado da Eritreia,,,,24/05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Eslováquia,República Eslovaca,,,,01/09,TRUE,Milan Zachar,homem,21/11/18,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 21B - 70.200-902 – Brasília / DF,emb.brasilia@mzv.sk,,
Eslovênia,República da Eslovênia,,,,25/06,TRUE,Gorazd Renčelj,homem,05/09/19,TRUE,TRUE,SHIS QL 8 conjunto 8 casa 7 - Lago Sul - 71.620-285 – Brasília / DF,vbi@gov.si,,
Espanha,Espanha,,,,12/10,TRUE,Fernando García Casas,homem,10/10/18,TRUE,TRUE,SES Avenida das Nações quadra 811 lote 44 - 70.429-900 – Brasília / DF,emb.brasilia@maec.es,,
Estados Unidos,Estados Unidos da América,,,,04/07,TRUE,Todd C. Chapman,homem,30/03/20,TRUE,TRUE,SES Avenida das Nações quadra 801 lote 3 -  70.403-900 – Brasília / DF,FALSE,,
Estônia,República da Estônia,,,,24/02,TRUE,Mart Tarmak,homem,11/08/14,FALSE,FALSE,FALSE,FALSE,,
Etiópia,República Democrática Federal da Etiópia,,,,28/05,TRUE,Yalew Abate Reta,homem,26/12/18,TRUE,TRUE,SHIS QI 7 conjunto 4 casa 9 – Lago Sul - 71.615-240 - Brasília / DF,ethiobrazil@ethiopianembassy.org.br,,
Fíji,República de Fiji,,,,10/10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Filipinas,República das Filipinas,,Sudeste Asiático,Ásia,12/06,TRUE,Marichu Barredo Mauro,mulher,11/04/18,TRUE,FALSE,FALSE,FALSE,,
Finlândia,República da Finlândia,,,,06/12,TRUE,Jouko Johannes Leinonen,homem,03/09/18,TRUE,TRUE,SES Avenida das Nações quadra 807 lote 27 - 70.417-900 - Brasília / DF,sanomat.bra@formin.fi,,
França,República Francesa,,Europa Ocidental,Europa,14/07,TRUE,Brigitte Collet,mulher,28/05/20,TRUE,TRUE,SES Avenida das Nações quadra 801 lote 4 - 70.404-900 - Brasília / DF,cad.brasilia-amba@diplomatie.gouv.fr,,
Gabão,República Gabonesa,,,,17/08,TRUE,Jacques Michel Moudoute-Bell,homem,20/10/15,TRUE,TRUE,SHIS QI 09 conjunto 11 casa 09 – Lago Sul - 71.625-110 - Brasília / DF,bresil.embgabon@gmail.com,,
Gâmbia,República Islâmica da Gâmbia,,,,18/02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Gana,República de Gana,,África Ocidental,África,06/03,TRUE,Abena Pokua Adompim Busia,mulher,10/01/18,TRUE,TRUE,SHIS QL 10 conjunto 8 casa 2 – Lago Sul - 71.630-085 - Brasília / DF,embgana@gmail.com,ghanaembassy@brazilmail.com,
Geórgia,Geórgia,,,,26/05,TRUE,David Solomonia,homem,01/08/17,TRUE,TRUE,SHIS QI 7 conjunto 11 casa 1 – Lago Sul - 71615-310 – Brasília/DF,brazil.emb@mfa.gov.ge,,
Granada,Granada,,,,07/02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Grécia,República Helênica,,,,25/03,TRUE,Ioannis Pediotis,homem,04/12/17,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 22 - 70.480-900 - Brasília / DF,gremb.bra@mfa.gr,,
Guatemala,República da Guatemala,,,,15/09,TRUE,Pedro Amado Robles Valle,homem,17/12/2019,TRUE,TRUE,SHIS QI 3 conjunto 9 casa 7 – Lago Sul - 71.605-290 - Brasília / DF,embaguate-brasil@minex.gob.gt,embaguate.brasil@gmail.com,
Guiana,República Cooperativista da Guiana,,,,23/02,TRUE,George Wilfred Steir Talbot,homem,08/08/16,TRUE,TRUE,SHIS QI 5 conjunto 19 casa 24 – Lago Sul - 71.615-190 - Brasília / DF,embguyana@embguyana.org.br,,
Guiné (Conacri),República da Guiné,,,,02/10,TRUE,Kabiné Kondé,homem,18/03/19,TRUE,TRUE,SHIS QI 07 - Conjunto 03 - Casa 01 – Lago Sul - 71.615-230 – Brasília / DF,ambaguibrasil@terra.com.br,,
Guiné-Bissau,República da Guiné-Bissau,,,,24/09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"SHIS QL 20, conjunto 02, casa 17, Lago Sul - 71.650-125 - Brasília/DF",embaguibrasil@gmail.com,,
Guiné Equatorial,República da Guiné Equatorial,,,,12/10,TRUE,Juan Ndong Nguema,homem,28/12/18,TRUE,TRUE,SHIS QL 10 conjunto 9 casa 1 – Lago Sul - 70.630–095 – Brasília / DF,embaixada@gequatorial.org.br,,
Haiti,República do Haiti,,,,01/01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SHIS QI 13 conjunto 8 casa 18 – Lago Sul - 71.635-080 – Brasilia / DF,secretariat@ambassadehaitibresil.org,,
Honduras,República de Honduras,,,,15/09,TRUE,Embaixador Jorge Alberto Milla Reyes,homem,17/02/20,TRUE,TRUE,SHIS QI 19 conjunto 7 casa 34 – Lago Sul - 71.655-070 - Brasília / DF,embajada@embajadahondurasbrasil.com,,
Hungria,Hungria,,,,20/08,TRUE,Zoltán Szentgyörgyi,homem,01/09/18,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 19 - 70.413-900 – Brasília / DF,mission.brz@mfa.gov.hu,,
Iêmen,República do Iêmen,,,,22/05,TRUE,Ahmed Awad Binmubarak,homem,06/02/20,FALSE,FALSE,FALSE,gamdan-hav@enet.cu,,
Ilhas Cook,Ilhas Cook,,,,04/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Ilhas Marshall,República das Ilhas Marshall,,,,01/05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Ilhas Salomão,Ilhas Salomão,,,,07/05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Índia,República da Índia,,,,26/01,TRUE,Ashok Das,homem,14/03/18,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 24 - 70.452-901 – Brasília / DF,media.brasilia@mea.gov.in,,
Indonésia,República da Indonésia,,,,17/08,TRUE,Edi Yusup,homem,13/03/19,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 20 - 70.479-900 - Brasília / DF,brasilia.kbri@kemlu.go.id,,
Irã,República Islâmica do Irã,,,,11/02,TRUE,Hossein Gharibi,homem,25/03/20,TRUE,TRUE,SES Avenida das Nações quadra 809 lote 31 - 70.421-900 – Brasília / DF,iranemb.bsb@mfa.gov.ir,,
Iraque,República do Iraque,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SES Avenida das Nações quadra 815 lote 64 - 70.430-900 – Brasília / DF,brzemb@mofa.gov.iq,,
Irlanda,Irlanda,,,,17/03,TRUE,Seán Hoy,homem,07/12/18,TRUE,TRUE,SHIS QL 12 conjunto 5 casa 9 – Lago Sul - 71.630-255 – Brasília / DF,brasiliaembassy@dfa.ie,,
Islândia,República da Islândia,,,,17/06,TRUE,Geir H. Haarde,homem,26/06/17,FALSE,FALSE,FALSE,icemb.wash@utn.stjr.is,,
Israel,Estado de Israel,,,,14/05,TRUE,Yossi Shelley,homem,03/03/17,TRUE,TRUE,SES Avenida das Nações quadra 809 lote 38 - 70.424-900 – Brasília / DF,info@brasilia.mfa.gov.il,,
Itália,República Italiana,,,,02/06,TRUE,Francesco Azzarelo,homem,07/01/20,TRUE,TRUE,SES Avenida das Nações quadra 807 lote 30 - 70.420-900 - Brasília / DF,ambasciata.brasilia@esteri.it,,
Jamaica,Jamaica,,América Central,América,06/08,TRUE,Sharon Joyce Miller,mulher,04/07/18,TRUE,TRUE,SHIS QL 02 Conjunto 04 Casa 02 - Lago Sul - 71610-045 - Brasília / DF,embajam@jamaicanembassy.br.com,,
Japão,Japão,,,,23/02,TRUE,Akira Yamada,homem,16/08/17,TRUE,TRUE,SES Avenida das Nações quadra 811 lote 39 - 70.425-900 - Brasília / DF,FALSE,,
Jordânia,Reino Haxemita da Jordânia,,,,25/05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SHIS QI 9 conjunto 18 casa 14 - Lago Sul - 71.625-180 - Brasília / DF,secretaria@embjordania.com,,
Kiribati,República de Kiribati,,,,12/06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Kuwait,Estado do Kuwait,,,,25/02,TRUE,Nasser Riden Thamer Almotairi,homem,01/10/18,TRUE,TRUE,SHIS QL 8 conjunto 8 casa 2 - Lago Sul - 71.620-285 - Brasília / DF,kuwait@embkuaite.com.br,,
Laos,República Popular Democrática do Laos,,,,19/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Lesoto,Reino do Lesoto,,,,04/10,TRUE,Eliachim Molapi Sebatane,homem,03/09/12,FALSE,FALSE,FALSE,lesothoembassy@verizon.net,,
Letônia,República da Letônia,,Balcãs,Europa,18/11,TRUE,Alda Vanaga,mulher,16/03/12,FALSE,FALSE,FALSE,mfa.cha@mfa.gov.lv,,
Líbano,República Libanesa,,,,22/11,TRUE,Joseph Sayah,homem,15/02/13,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 17 - 70.411-900 - Brasília / DF,FALSE,,
Libéria,República da Libéria,,,,26/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Líbia,Estado da Líbia,,,,24/12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SHIS QI 15 chácara 26 – Lago Sul - 71.600-750 – Brasília / DF,emblibia@terra.com.br,,
Liechtenstein,Principado do Liechtenstein,,,,15/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Os interesses do Principado de Liechtenstein são representados pela Suíça
Lituânia,República da Lituânia,,,,16/02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,kons.br@mfa.lt,,
Luxemburgo,Grão-Ducado de Luxemburgo,,,,23/06,TRUE,Carlo Krieger,homem,06/06/17,TRUE,TRUE,"SHIS QL 12, Conjunto 05, Casa 18, Lago Sul - CEP: 71630-255 - Brasília/DF",brasilia.amb@mae.etat.lu,,
Macedônia do Norte,República da Macedônia do Norte,República,,,08/09,TRUE,Ivica Bocevski,homem,03/05/16,TRUE,TRUE,SHIS QL 26 conjunto 5 lote 15 – Lago Sul - CEP: 71.665-155 – Brasília / DF,brasilia@mfa.gov.mk,,
Madagascar,República de Madagascar,República,,,26/06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Malásia,Malásia,FALSE,,,31/08,TRUE,Lim Juay Jin,homem,18/10/17,TRUE,TRUE,SHIS QI 5 chácara 62 – Lago Sul - 70.477-900 – Brasília / DF,mwbrasilia@terra.com.br,,
Malawi,República do Malawi,República,,,06/07,TRUE,Brian Bowler,homem,09/09/16,TRUE,TRUE,"SHIS QI 03, Conjunto 3, Casa 1 - 71605-230 – Brasília - DF",malawiembassybrazil@bol.com,,
Maldivas,República das Maldivas,República,,,26/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Mali,República do Mali,República,,,22/09,TRUE,Mamadou Macki Traoré,homem,04/09/15,TRUE,TRUE,SHIS QI 07 conjunto 2 casa 04 - Lago Sul - 71.615-220 – Brasília/DF,ambassademalibrasilia@gmail.com,,
Malta,República de Malta,República,,,21/09,TRUE,Pius Joseph Camilleri,homem,01/09/15,FALSE,FALSE,FALSE,FALSE,,
Marrocos,Reino do Marrocos,Reino,,,30/07,TRUE,Nabil Adghoghi,homem,14/11/16,TRUE,TRUE,SEN Avenida das Nações quadra 801 lote 2 - 70.800-920 – Brasília / DF,emb.marrocos.br@emaec.gov.ma,,
Maurício,República de Maurício,República,,,12/03,TRUE,Sooroojdev Phokeer,homem,05/09/2018,FALSE,FALSE,FALSE,FALSE,,
Mauritânia,República Islâmica da Mauritânia,República Islâmica,,,28/11,TRUE,Abdoulaye Idrissa Wagne,homem,24/02/16,TRUE,TRUE,SHIS QI 9 conjunto 3 casa 9 – Lago Sul - 71.625-030 – Brasília / DF,ambarimbrasilia@gmail.com,ambarimbrasilia@diplomatie.gov.mr,
México,Estados Unidos Mexicanos,Estados Unidos,,,16/09,TRUE,José Ignacio Piña Rojas,homem,03/06/19,TRUE,TRUE,SES Avenida das Nações quadra 805 lote 18 - 70.412-900 – Brasília / DF,embajadamexbra@sre.gob.mx ,,
Micronésia,Estados Federados da Micronésia,Estados Federados,,,03/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Moçambique,República de Moçambique,República,,,25/06,TRUE,Gamiliel Sepúlveda João Munguambe,homem,23/10/18,TRUE,TRUE,SHIS QL 6 conjunto 4 casa 2 - Lago Sul - 71.620-045 - Brasília / DF, embaixada@mozambique.org.br,secretariadoembaixador@mozambique.org.br,
Moldova,República da Moldova,República,,,27/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Mônaco,Principado de Mônaco,Principiado,,,19/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Mongólia,Mongólia,FALSE,Ásia Oriental,Ásia,11/07,TRUE,Sosormaa Chuluunbaatar,mulher,10/10/14,FALSE,FALSE,FALSE,FALSE,,
Montenegro,Montenegro,FALSE,,,21/05,TRUE,Gordan Stojović,homem,18/06/14,FALSE,FALSE,FALSE,argentina@mfa.gov.me,,
Myanmar,República da União de Myanmar,República,,,04/01,TRUE,Myo Tint,homem,04/01/18,TRUE,TRUE,"SHIS QI 7 conjunto 9, casa 2 – Lago Sul - 71.615-290 – Brasília / DF",mebrasilia@gmail.com,,
Namíbia,República da Namíbia,República,,,21/03,TRUE,Samuel Sheefeni Nuuyoma,homem,26/01/16,TRUE,TRUE,SHIS QI 9 conjunto 8 casa 11 – Lago Sul - 71.625-080 – Brasília / DF,info@embassyofnamibia.org.br,,
Nauru,República de Nauru,República,,,31/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Nepal,República Democrática Federal do Nepal,República,,,FALSE,TRUE,Tara Prasad Pokharel,homem,22/09/16,TRUE,TRUE,SHIS QI 11 conjunto 3 casa 20 – Lago Sul - 71.625-230 – Brasília / DF,embaixadanepal@gmail.com,,não há uma data nacional específica
Nicarágua,República da Nicarágua,República,América Central,América,15/09,TRUE,Lorena del Carmen Martínez,mulher,07/08/13,TRUE,TRUE,SHIS QI 24 Conjunto 01 Casa 16 – Lago Sul - 71.665-015 – Brasília / DF,embajada.brasil@cancilleria.gob.ni,,
Níger,República do Níger,República,,,18/12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
